Sommerfeld;5260.163;4717.41
Gassen;5268.758;4670.872
Sorau;5378;4566
Groß Seelwitz;6628.125;1511.923
Brünn;6634.076;1706.104
Cernakora;6617.701;1944.124
Lettowitz;6623.856;2066.391
Brüssau;6552.025;2205.45
Zwittau;6445.151;2310.594
Abtsdorf;6548.329;2443.385
Müglitz;6673.458;2319.822
Wels;4739.399;564.2992
Lahrbach;4622.362;498.519
Friedberg;4192.89;342.18
Salzburg;4139.653;152.201
Neumarkt;6498.572;4186.35
Jauer;6207.675;4065.21
Striegau;6301.843;3945.479
Salzbrunn;6339.41;3774.498
Waldenberg;6343.052;3717.573
Freiburg;6287.029;3824.88
Bösdorf;7163.898;3446.4
Neisse;7132.768;3345.202
Grottkau;7167.055;3601.567
Frankenstadt;6760.356;3497.373
Reichenbach;6611.703;3657.589
Schweidnitz;6486.973;3798.169
Bunzlau;5656;4297
Liegnitz;6177;4230.933
Kattowitz;8409.636;3135.323
Königshütte;8354.152;3163.963
Rudzinitz;7936.674;3235.888
Kosel;7785.463;3221.265
Ohlau;7114.509;3906.381
Ruda;8301.493;3185.238
Zabrze;8228.431;3188.059
Gogolin;7648.299;3393.451
Löwen;7357.376;3694.191
Brieg;7242.521;3816.129
Breslau;6915.666;4095
Oppeln;7599.975;3593.302
Myslowitz;8494.037;3130.141
Gleiwitz;8129;3167
Schönlanke;6199.569;6219.594
Nakel;7071.14;6320.182
Altfelde;7587.03;7698.871
Hohenstein;7214.787;7855.079
St. Albrecht;7178.195;8001.907
Dirschau;7287.177;7785.773
Bromberg;7348.675;6316.097
Miasteezk;6630.733;6267.145
Schneidemühl;6405.382;6354.777
Landsberg;5293.815;5856.508
Schwaz;3065.644;-330.5521
Volders;2967.346;-388.5029
Innsbruck;2827.344;-420.2561
Kufstein;3415.262;-61.90411
Wörgl;3327.776;-174.037
Rattenburg;3214.317;-239.9422
Olmütz;6734.013;2155.104
Leipnik;6988.271;2093.591
Napagedl;6929.369;1665.557
Göding;6625.884;1323.839
Neudorf;6542.208;1282.83
Lundenburg;6460.463;1223.772
Hohenau;6438;1039.022
Groß Pöchlarn;5601.808;583.1104
Am Stetten;5352.569;540.0304
Hang;5130.739;510.0033
Enns;5066.715;614.9869
Linz;4925.592;699.9391
Mödling;6385.471;473.4182
Petersdorf;6386.931;513.1021
Baden;6346.945;377.0007
Sollenau;6334.919;248.0284
Leobersdorf;6319.589;306.438
Neunkirch;6198.298;49.82788
Gloggnitz;6104.797;39.00143
Langenwald;5893.246;-97.42404
Krieglach;5853.539;-122.6107
Kindburg;5777.724;-179.6955
Mahrenburg;5620.003;-1076.52
Villach;4599.422;-1062.003
Klagenfurt;4956.686;-1053.846
St. Peter;5022.203;-2017.155
Sessana;4779.874;-1993.195
Görz;4594.843;-1747.7
Nabresina;4627.394;-1919.989
Triest;4723;-2047
Franzdorf;5007.32;-1826.149
Laibach;5097.98;-1659.892
Lichtenwald (Österreich);5701.096;-1710.946
Bad-Steinbrücken;5634.184;-1582.262
Cilli;5649.463;-1469.741
Pettau;6103.704;-1265.017
Marburg (Österreich);5942.179;-1108.952
Ehrenhausen;5860.99;-942.9394
Kaisdorf;5790.59;-693
Peggau;5706.696;-503.2485
Frohnleiten;5675.279;-438.9608
Mirnitz;5724.477;-352.8099
Bernegg;5709.17;-303.8288
Graz;5770.413;-651.6158
Kapfenberg;5647.845;-260.7408
Mürzzuschlag;5931.265;-58.90634
Pressbaum;6205.279;545.3623
St. Pölten;5881.247;588.2701
Wien;6463.102;609.9736
Wiener Neustadt;6350.265;164.0102
Aassig;4689.331;3554.551
Teplitz;4520.875;3516.67
Prag;4954;2874
Gumbinnen;9657.344;8531.729
Heiligenbeil;8104.548;8268.404
Danzig;7165.99;8085.053
Marienburg;7461;7687
Elbing;7728.208;7880.34
Königsberg;8501.744;8590.82
Zwotental;3441.358;3129.063
Zwota-Zechenbach;3468.947;3117.938
Zwota;3489.254;3120.953
Zwönitz;3734.321;3443.594
Zwingenberg (Bergstr);767.0137;2369.824
Zwingenberg (Baden);1080.864;2020.383
Zwieselau;4176.704;1654.867
Zwiesel (Bay);4138.397;1669.902
Zwickau-Schedewitz;3516.429;3510.992
Zwickau-Pölbitz;3504.11;3549.879
Zwickau (Sachs) Hbf;3503.219;3526.5
Zwenkau-Großdalzig;3333.752;4066.516
Zweibrücken Hbf;-147.4194;1849.289
Zuzenhausen;918.2939;1891.527
Züttlingen;1287.378;1885.027
Züssow;4031.586;7187.508
Zusenhofen;327.5767;1058.898
Zülpich;-601.4497;3474.078
Zühlsdorf;4021.567;5801.594
Zugspitzplatt;2542.691;-184.543
Zug;4101.123;3732.832
Zschortau;3382.717;4375.141
Zschopau Ost;3928.003;3579.949
Zschopau;3916.367;3577.23
Zscherben;3037.424;4343.82
Zschepa-Hohburg;3674.973;4308.742
Zschaitz;3954.427;4054.313
Zschachenmühle;2846.096;3259.824
Zotzenbach;869.8325;2238.723
Zossen;4080.616;5232.645
Zöschen;3215.794;4224.813
Zörnigall;3617.237;4832.07
Zorneding;3159.353;586.9844
Zörbig;3207.849;4531.797
Zopten;2716.313;3284.332
Zollhaus-Petersthal;2113.538;87.44922
Zollhaus (Villingen-Schwenningen);681.1934;496.8945
Zollhaus (Nass);381.1274;2995.219
Zöblitz-Pobershau;4027.063;3490.754
Zoblitz;5072.247;4079.133
Zöberitz;3152.889;4390.563
Zittau Vorstadt;5120.83;3821.41
Zittau Süd;5137.538;3823.328
Zittau;5128.825;3838.629
Zirtow-Leussow;3637.601;6391.707
Zirndorf Kneippallee;2459.117;2079.207
Zirndorf;2467.574;2072.523
Zinnowitz;4255.383;7316.449
Zimmersrode;1204.167;3793.957
Zimmern bei Seckach;1318.924;2040.039
Zimmern (bei Grünsfeld);1619.194;2224.93
Ziltendorf Nord;4873.975;5283.098
Ziltendorf EKO;4872.013;5280.668
Ziltendorf;4885.734;5267.242
Zillendorf;3716.448;2008.953
Zieverich;-619.9583;3754.23
Ziesar;3298.706;5241.824
Zierenberg-Rosental;1254.458;4191.645
Zierenberg;1260.701;4190.723
Ziepel;3014.167;5094.074
Zielitz Ort;2874.221;5250.75
Zielitz;2876.483;5259.813
Ziegenrück;2923.944;3377.543
Zeven Süd;1236.455;6321.016
Zeven Nord;1229.783;6345.734
Zeven (Han);1236.2;6322.719
Zeutsch;2818.517;3542.855
Zeutern Sportplatz;809.0952;1758.703
Zeutern Ost;832.6006;1760.098
Zeutern;814.4204;1759.004
Zeulenroda unt Bf;3177.161;3450.027
Zerrenthin;4429.087;6685.453
Zernsdorf;4249.437;5334.457
Zerkall;-749.009;3474.008
Zerbst/Anhalt;3171.389;4890.09
Zeppernick (bei Magdeburg);3117.009;5076.582
Zeppenfeld;364.2622;3543.914
Zeppelinheim;765.3252;2712.273
Zepernick (bei Bernau);4115.837;5728.094
Zennern;1271.539;3909.199
Zempin;4293.632;7308.395
Zementfabrik;-288.4849;4234.594
