NNID;DATUM;OBA;NAME;AGS;ARS;RS;HOEHE;HOEHE_GER;EWZ;EWZ_GER;GEWK;GEMTEIL;VIRTUELL;GEMEINDE;VERWGEM;RECHTS;HOCH
DEBKGGND00001918;30.10.2020;AX_Gemeinde;Girkenroth;7143226;71435009226;71435009226;;;600;;;Nein;Nein;Girkenroth;Westerburg;426919.7050690874;5597045.725419973
DEBKGGND00001919;30.10.2020;AX_Gemeinde;Naurath (Wald);7235092;72355001092;72355001092;;;218;;;Nein;Nein;Naurath (Wald);Hermeskeil;347392.0347181567;5514008.395251749
DEBKGGND0000191B;30.10.2020;AX_Gemeinde;Hinte;3452011;34520011011;34520011011;;;7106;;;Nein;Nein;Hinte;Hinte;379960.6570059961;5920009.676713455
DEBKGGND0000191C;30.10.2020;AX_Gemeinde;Kaiserslautern;7312000;73120000000;73120000000;;;100030;;;Nein;Nein;Kaiserslautern;Kaiserslautern;410758.435141723;5477705.454250873
DEBKGGND0000191G;30.10.2020;AX_Gemeinde;Fehrbellin;12068117;120680117117;120680117117;;;8943;;;Nein;Nein;Fehrbellin;Fehrbellin;753651.8084922791;5858165.451412063
DEBKGGND0000191I;30.10.2020;AX_Gemeinde;Mauth;9272134;92720134134;92720134134;;;2181;;;Nein;Nein;Mauth;Mauth;835975.2151908048;5425006.124602714
DEBKGGND0000191J;30.10.2020;AX_Gemeinde;Wettlingen;7232133;72325008133;72325008133;;;31;;;Nein;Nein;Wettlingen;Bitburger Land;313844.05038145673;5534040.344782628
DEBKGGND0000191L;30.10.2020;AX_Gemeinde;Hirschstein;14627070;146270070070;146270070070;;;1950;;;Nein;Nein;Hirschstein;Hirschstein;800847.3097101616;5687369.201382631
DEBKGGND0000191M;30.10.2020;AX_Gemeinde;Radebeul;14627210;146270210210;146270210210;;;33894;;;Nein;Nein;Radebeul;Radebeul;826122.7612990473;5671940.6383291595
DEBKGGND0000191N;30.10.2020;AX_Gemeinde;Wurmberg;8236068;82365001068;82365001068;;;3241;;;Nein;Nein;Wurmberg;HeckengÑu;486780.62264032237;5413117.504453104
DEBKGGND0000191O;30.10.2020;AX_Gemeinde;Brevîrde;3255005;32555408005;32555408005;;;595;;;Nein;Nein;Brevîrde;Bodenwerder-Polle;529391.7147187542;5751362.852437747
DEBKGGND0000191Q;30.10.2020;AX_Gemeinde;Allendorf;16073001;160735054001;160735054001;;;337;;;Nein;Nein;Allendorf;Kînigsee;652582.6480245345;5613760.555731578
DEBKGGND0000191T;30.10.2020;AX_Gemeinde;LÅbbecke;5770020;57700020020;57700020020;;;25541;;;Nein;Nein;LÅbbecke;LÅbbecke;473908.97092551825;5794857.373787211
DEBKGGND0000191V;30.10.2020;AX_Gemeinde;Wei·enhorn;9775164;97750164164;97750164164;;;13521;;;Nein;Nein;Wei·enhorn;Wei·enhorn;586025.088963509;5350791.01893146
DEBKGGND0000191W;30.10.2020;AX_Gemeinde;ObersÅ·bach;9274165;92745221165;92745221165;;;1742;;;Nein;Nein;ObersÅ·bach;Furth;717003.8641244425;5388274.815181212
DEBKGGND0000191X;30.10.2020;AX_Gemeinde;Nordwalde;5566064;55660064064;55660064064;;;9640;;;Nein;Nein;Nordwalde;Nordwalde;395894.7268972752;5771502.763129431
DEBKGGND0000191Z;30.10.2020;AX_Gemeinde;Beetzendorf;15081045;150815051045;150815051045;;;3140;;;Nein;Nein;Beetzendorf;Beetzendorf-Diesdorf;641156.9762305032;5840946.252260569
DEBKGGND00001920;30.10.2020;AX_Gemeinde;Legau;9778165;97785767165;97785767165;;;3290;;;Nein;Nein;Legau;Illerwinkel;584456.1681970179;5300962.483061806
DEBKGGND00001923;30.10.2020;AX_Gemeinde;Witzenhausen;6636016;66360016016;66360016016;;;15126;;;Nein;Nein;Witzenhausen;Witzenhausen;559822.6637947205;5688140.221239916
DEBKGGND00001924;30.10.2020;AX_Gemeinde;Gro· Miltzow;13071054;130715164054;130715164054;;;974;;;Nein;Nein;Gro· Miltzow;Woldegk;804446.2149789773;5941685.411851098
DEBKGGND00001925;30.10.2020;AX_Gemeinde;Rehe;7143285;71435006285;71435006285;;;964;;;Nein;Nein;Rehe;Rennerod;437752.8758066193;5609534.283440578
DEBKGGND00001926;30.10.2020;AX_Gemeinde;Straelen;5154052;51540052052;51540052052;;;16257;;;Nein;Nein;Straelen;Straelen;310054.5839291377;5702831.897140035
DEBKGGND00001927;30.10.2020;AX_Gemeinde;Hatten;3458009;34580009009;34580009009;;;14154;;;Nein;Nein;Hatten;Hatten;456395.50824078306;5874513.6359511865
